city,language
vilnius,romanian
paris,swedish
valletta,maltese
madrid,belgian
madrid,luxembourgish
madrid,dutch
valletta,belgian
valletta,french
valletta,finnish
valletta,swedish
amsterdam,austrian
amsterdam,slovakian
paris,hungarian
paris,austrian
paris,slovakian
copenhagen,austrian
copenhagen,french
vilnius,bulgarian
rome,danish
sofia,austrian
paris,greek
copenhagen,greek
vilnius,hungarian
sofia,slovakian
vilnius,swedish
copenhagen,swedish
madrid,croatian
rome,polish
paris,polish
madrid,german
madrid,austrian
sofia,hungarian
paris,belgian
amsterdam,belgian
valletta,romanian
sofia,romanian
rome,bulgarian
paris,bulgarian
vienna,austrian
paris,french
madrid,spanish
vilnius,danish
madrid,danish
copenhagen,danish
vienna,romanian
sofia,dutch
valletta,austrian
vienna,croatian
sofia,estonian
copenhagen,hungarian
paris,finnish
paris,lithuanian
amsterdam,lithuanian
sofia,danish
madrid,cypriot
vienna,dutch
paris,latvian
amsterdam,greek
madrid,lithuanian
valletta,spanish
rome,estonian
rome,hungarian
copenhagen,slovakian
vienna,belgian
rome,maltese
madrid,estonian
vienna,finnish
vilnius,lithuanian
amsterdam,irish
rome,finnish
paris,romanian
vienna,polish
copenhagen,romanian
amsterdam,polish
paris,cypriot
paris,italian
valletta,slovakian
vienna,slovakian
valletta,bulgarian
amsterdam,italian
copenhagen,polish
valletta,italian
amsterdam,hungarian
madrid,french
copenhagen,italian
paris,german
amsterdam,maltese
vilnius,spanish
sofia,italian
vilnius,french
vilnius,greek
madrid,greek
amsterdam,danish
vienna,swedish
vilnius,latvian
madrid,bulgarian
amsterdam,finnish
amsterdam,slovene
copenhagen,estonian
amsterdam,bulgarian
copenhagen,spanish
sofia,swedish
rome,slovakian
vienna,hungarian
valletta,hungarian
madrid,hungarian
vilnius,czech
paris,maltese
rome,romanian
paris,dutch
vilnius,slovakian
vienna,estonian
sofia,slovene
madrid,slovene
amsterdam,czech
rome,greek
copenhagen,lithuanian
vilnius,luxembourgish
madrid,finnish
vilnius,finnish
valletta,cypriot
vilnius,maltese
rome,austrian
amsterdam,estonian
sofia,greek
madrid,romanian
amsterdam,portuguese
vienna,cypriot
rome,belgian
paris,estonian
copenhagen,bulgarian
vienna,latvian
copenhagen,irish
madrid,slovakian
copenhagen,finnish
vilnius,estonian
madrid,italian
sofia,maltese
valletta,portuguese
valletta,danish
copenhagen,luxembourgish
sofia,polish
madrid,swedish
rome,czech
amsterdam,romanian
valletta,croatian
vienna,slovene
sofia,portuguese
sofia,bulgarian
vienna,danish
valletta,czech
rome,swedish
vilnius,austrian
paris,czech
vilnius,croatian
valletta,slovene
amsterdam,dutch
madrid,latvian
copenhagen,cypriot
vienna,czech
amsterdam,swedish
paris,danish
valletta,german
vienna,bulgarian
rome,portuguese
vilnius,belgian
rome,irish
rome,slovene
sofia,spanish
amsterdam,luxembourgish
sofia,latvian
rome,spanish
vienna,irish
sofia,finnish
madrid,maltese
vilnius,german
sofia,german
rome,french
paris,irish
vilnius,slovene
vienna,german
amsterdam,german
madrid,irish
valletta,estonian
rome,cypriot
copenhagen,slovene
copenhagen,czech
vienna,portuguese
vienna,french
vienna,spanish
sofia,belgian
valletta,dutch
sofia,luxembourgish
vilnius,dutch
vienna,greek
vilnius,irish
copenhagen,portuguese
sofia,french
paris,spanish
vienna,maltese
sofia,irish
valletta,lithuanian
vilnius,italian
vilnius,portuguese
rome,italian
rome,lithuanian
amsterdam,croatian
amsterdam,french
vienna,lithuanian
paris,croatian
amsterdam,latvian
vilnius,polish
